epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.68523,1.48956,3.41413,1.26638,0.0039,0.98333,0.46921,0.27409,1.19312,2.94891,1.05487,0.000410714,0.000410714,0.000410714
2,15.5195,1.28005,2.28142,1.13965,0.49512,0.5584,0.56558,0.36366,1.20193,1.8019,1.18602,0.00082192,0.00082192,0.00082192
3,21.1452,1.29402,2.04093,1.21552,0.6452,0.71366,0.72562,0.43946,1.18724,1.44563,1.22026,0.00122763,0.00122763,0.00122763
4,26.8304,1.2052,1.83382,1.18551,0.622,0.67535,0.6256,0.39719,1.19825,1.52519,1.22229,0.00122525,0.00122525,0.00122525
5,32.3787,1.23936,1.72358,1.18409,0.67883,0.70989,0.73796,0.43866,1.32165,1.20414,1.27259,0.001217,0.001217,0.001217
6,37.9538,1.21034,1.57664,1.18098,0.72964,0.64165,0.74424,0.51306,1.06967,1.24115,1.17355,0.00120875,0.00120875,0.00120875
7,43.5596,1.18468,1.51213,1.18354,0.79063,0.6503,0.73082,0.50746,1.06587,1.2483,1.17069,0.0012005,0.0012005,0.0012005
8,49.1754,1.15499,1.41792,1.16143,0.76279,0.7332,0.79666,0.57651,1.05092,1.0671,1.15553,0.00119225,0.00119225,0.00119225
9,54.7239,1.14458,1.27204,1.13066,0.86149,0.66843,0.78974,0.52077,1.12448,1.10002,1.20712,0.001184,0.001184,0.001184
10,60.3055,1.13637,1.23044,1.14541,0.78963,0.70504,0.7953,0.54125,1.1017,1.0087,1.17573,0.00117575,0.00117575,0.00117575
11,65.8835,1.1146,1.19459,1.14056,0.78097,0.72907,0.81899,0.55423,1.11671,1.02716,1.1853,0.0011675,0.0011675,0.0011675
12,71.4522,1.10758,1.14733,1.1276,0.70504,0.7518,0.76537,0.52854,1.10214,1.03042,1.18366,0.00115925,0.00115925,0.00115925
13,76.9873,1.0717,1.11896,1.11762,0.68179,0.83291,0.80311,0.54522,1.11673,1.0236,1.20384,0.001151,0.001151,0.001151
